,metrics,mean,std
0,AUPR,0.34178453391266456,0.009086059776172552
1,AUROC,0.5113341235379829,0.010765304859695608
2,Accuracy,0.659226440566143,0.004591898047569027
3,F1 score,0.0016262102897771846,0.003175031619500782
4,Precision,0.11116733055972558,0.14778813171863142
5,Recall,0.000826087577180906,0.0016173496454266112
