,metrics,mean,std
0,AUPR,0.34185258928324025,0.011341209396169276
1,AUROC,0.5119619643837281,0.01174719796575954
2,Accuracy,0.6591259142435358,0.004831485891366689
3,F1 score,0.0024092643973364176,0.004040097865120041
4,Precision,0.0989856459968792,0.1715347670782886
5,Recall,0.0012263162760693196,0.0020622457686579046
