,metrics,mean,std
0,AUPR,0.3420876226859578,0.009445705852045988
1,AUROC,0.5123866676465489,0.011003368361325717
2,Accuracy,0.6590580886226938,0.004707319537256245
3,F1 score,0.002069304700977816,0.0036424802908736004
4,Precision,0.10755884800231869,0.15526453546285585
5,Recall,0.0010523232740413699,0.00185573166840395
