,metrics,mean,std
0,AUPR,0.3417049371092665,0.011654233162339843
1,AUROC,0.5139234879718076,0.012403621154522837
2,Accuracy,0.6584034819806682,0.005442363886539123
3,F1 score,0.003719733613949943,0.005137635744610888
4,Precision,0.11289666512808678,0.17184919230976262
5,Recall,0.0018996639840361943,0.0026280345502247057
