,metrics,mean,std
0,AUPR,0.3410820808754432,0.009846179044811455
1,AUROC,0.5110788319862352,0.010921236736234857
2,Accuracy,0.6591402434528287,0.004785431782293095
3,F1 score,0.0016243829796698695,0.0031149506835138254
4,Precision,0.10676768144992677,0.15904321137506564
5,Recall,0.0008257291645314609,0.0015884045495172575
