,score,metrics,experiment
0,0.9811406713940578,AUROC,0
1,0.9987622230474068,Accuracy,0
2,0.9998265265662173,Recall,0
3,0.998935327324948,Precision,0
4,0.9993807282635621,F1 score,0
5,0.9999796537303784,AUPR,0
0,0.9608722313409439,AUROC,1
1,0.9989355118207699,Accuracy,1
2,1.0,Recall,1
3,0.9989355118207699,Precision,1
4,0.9994674724757576,F1 score,1
5,0.9999569864299034,AUPR,1
0,0.8578111456393043,AUROC,2
1,0.9987869785864587,Accuracy,2
2,0.9998513084853291,Recall,2
3,0.9989353536854094,Precision,2
4,0.9993931212147483,F1 score,2
5,0.9998328071105783,AUPR,2
0,0.9130693501835014,AUROC,3
1,0.9989355118207699,Accuracy,3
2,1.0,Recall,3
3,0.9989355118207699,Precision,3
4,0.9994674724757576,F1 score,3
5,0.9998996021699251,AUPR,3
0,0.9110893901112075,AUROC,4
1,0.9979205347196435,Accuracy,4
2,0.9989839413164155,Recall,4
3,0.9989344302919165,Precision,4
4,0.9989591851906923,F1 score,4
5,0.9998998891972004,AUPR,4
0,0.965840717961013,AUROC,0
1,0.998910756281718,Accuracy,0
2,0.9999752180808882,Recall,0
3,0.9989354854681388,Precision,0
4,0.9994550813662597,F1 score,0
5,0.9999624013376749,AUPR,0
0,0.9784806493554395,AUROC,1
1,0.9989355118207699,Accuracy,1
2,1.0,Recall,1
3,0.9989355118207699,Precision,1
4,0.9994674724757576,F1 score,1
5,0.9999761771178535,AUPR,1
0,0.9674377109344743,AUROC,2
1,0.9988364896645624,Accuracy,2
2,0.9999008723235527,Recall,2
3,0.9989354064024164,Precision,2
4,0.9994179061962027,F1 score,2
5,0.9999635519972372,AUPR,2
0,0.9841145016874758,AUROC,3
1,0.9989355118207699,Accuracy,3
2,1.0,Recall,3
3,0.9989355118207699,Precision,3
4,0.9994674724757576,F1 score,3
5,0.9999828492320976,AUPR,3
0,0.9656796354867861,AUROC,4
1,0.9981928456492141,Accuracy,4
2,0.9992565424266455,Recall,4
3,0.9989347206738511,Precision,4
4,0.9990956056345008,F1 score,4
5,0.9999622378887663,AUPR,4
0,0.9737608464120393,AUROC,0
1,0.9980690679539547,Accuracy,0
2,0.9991326328310864,Recall,0
3,0.9989345887016848,Precision,0
4,0.9990336009515314,F1 score,0
5,0.9999715857552278,AUPR,0
0,0.968588053040223,AUROC,1
1,0.9989355118207699,Accuracy,1
2,1.0,Recall,1
3,0.9989355118207699,Precision,1
4,0.9994674724757576,F1 score,1
5,0.999963481726004,AUPR,1
0,0.8899751950279401,AUROC,2
1,0.9985641787349919,Accuracy,2
2,0.9996282712133228,Recall,2
3,0.9989351163942546,Precision,2
4,0.9992815736015458,F1 score,2
5,0.9998687158018624,AUPR,2
0,0.9471344032974935,AUROC,3
1,0.9989355118207699,Accuracy,3
2,1.0,Recall,3
3,0.9989355118207699,Precision,3
4,0.9994674724757576,F1 score,3
5,0.9999371756206361,AUPR,3
0,0.9451060320343766,AUROC,4
1,0.9988364896645624,Accuracy,4
2,0.9999008723235527,Recall,4
3,0.9989354064024164,Precision,4
4,0.9994179061962027,F1 score,4
5,0.9999386439330615,AUPR,4
0,0.9863823354480571,AUROC,0
1,0.9989355118207699,Accuracy,0
2,1.0,Recall,0
3,0.9989355118207699,Precision,0
4,0.9994674724757576,F1 score,0
5,0.9999852381791063,AUPR,0
0,0.9693908719547055,AUROC,1
1,0.9989355118207699,Accuracy,1
2,1.0,Recall,1
3,0.9989355118207699,Precision,1
4,0.9994674724757576,F1 score,1
5,0.9999662409401896,AUPR,1
0,0.9719949905943973,AUROC,2
1,0.9988117341255106,Accuracy,2
2,0.9998760904044409,Recall,2
3,0.9989353800445655,Precision,2
4,0.9994055138589581,F1 score,2
5,0.999969613486144,AUPR,2
0,0.8809617805174925,AUROC,3
1,0.9988860007426662,Accuracy,3
2,0.9999504361617764,Recall,3
3,0.998935459114203,Precision,3
4,0.9994426899498422,F1 score,3
5,0.9998629093953743,AUPR,3
0,0.8740165036054811,AUROC,4
1,0.9978462681024879,Accuracy,4
2,0.9989095955590801,Recall,4
3,0.9989343510693663,Precision,4
4,0.9989219731608492,F1 score,4
5,0.9998541190256214,AUPR,4
