,metrics,mean,std
0,AUPR,0.9999488831732612,4.008915823704903e-05
1,AUROC,0.9560771132580939,0.032780306890257904
2,Accuracy,0.99849021958124,0.001183764552322095
3,F1 score,0.9992441692904899,0.0005943839828839039
4,Precision,0.9989121335953288,4.483909118289989e-05
5,Recall,0.9995772058823529,0.0012294305355140768
