,score,metrics,experiment
0,0.9825424052857578,AUROC,0
1,0.9988268598097473,Accuracy,0
2,0.9999234068627451,Recall,0
3,0.9989032850438686,Precision,0
4,0.9994130856384608,F1 score,0
5,0.9999806320942638,AUPR,0
0,0.9812213221044231,AUROC,1
1,0.9989033689525898,Accuracy,1
2,1.0,Recall,1
3,0.9989033689525898,Precision,1
4,0.9994513836614399,F1 score,1
5,0.99997608560071,AUPR,1
0,0.9077132851687186,AUROC,2
1,0.9988523628573615,Accuracy,2
2,0.9999489379084967,Recall,2
3,0.998903313014869,Precision,2
4,0.9994258519718795,F1 score,2
5,0.9998931280725829,AUPR,2
0,0.9812046972374222,AUROC,3
1,0.9989033689525898,Accuracy,3
2,1.0,Recall,3
3,0.9989033689525898,Precision,3
4,0.9994513836614399,F1 score,3
5,0.9999789224479072,AUPR,3
0,0.930345072864417,AUROC,4
1,0.9982912958098493,Accuracy,4
2,0.9993872549019608,Recall,4
3,0.9989026973230919,Precision,4
4,0.9991449173632825,F1 score,4
5,0.9999196510189563,AUPR,4
0,0.9643571757675937,AUROC,0
1,0.9989033689525898,Accuracy,0
2,1.0,Recall,0
3,0.9989033689525898,Precision,0
4,0.9994513836614399,F1 score,0
5,0.9999597408545664,AUPR,0
0,0.8523958214584282,AUROC,1
1,0.9989033689525898,Accuracy,1
2,1.0,Recall,1
3,0.9989033689525898,Precision,1
4,0.9994513836614399,F1 score,1
5,0.9998145393517572,AUPR,1
0,0.9468844405494755,AUROC,2
1,0.9976027135242661,Accuracy,2
2,0.9986979166666666,Recall,2
3,0.9989019407558734,Precision,2
4,0.9987999182923093,F1 score,2
5,0.9999398220767705,AUPR,2
0,0.9778028338273295,AUROC,3
1,0.9989033689525898,Accuracy,3
2,1.0,Recall,3
3,0.9989033689525898,Precision,3
4,0.9994513836614399,F1 score,3
5,0.9999747235849524,AUPR,3
0,0.9310807232292142,AUROC,4
1,0.9986228354288338,Accuracy,4
2,0.999719158496732,Recall,4
3,0.9989030612244898,Precision,4
4,0.9993109432421396,F1 score,4
5,0.9999202881230123,AUPR,4
0,0.9639445228188176,AUROC,0
1,0.9988523628573615,Accuracy,0
2,0.9999489379084967,Recall,0
3,0.998903313014869,Precision,0
4,0.9994258519718795,F1 score,0
5,0.9999591532552895,AUPR,0
0,0.9746945774433805,AUROC,1
1,0.9989033689525898,Accuracy,1
2,1.0,Recall,1
3,0.9989033689525898,Precision,1
4,0.9994513836614399,F1 score,1
5,0.9999696832731444,AUPR,1
0,0.9627528761019911,AUROC,2
1,0.9987758537145189,Accuracy,2
2,0.9998723447712419,Recall,2
3,0.9989032290975871,Precision,2
4,0.9993875519942838,F1 score,2
5,0.9999571190951261,AUPR,2
0,0.9629725618445052,AUROC,3
1,0.9989033689525898,Accuracy,3
2,1.0,Recall,3
3,0.9989033689525898,Precision,3
4,0.9994513836614399,F1 score,3
5,0.9999577655390236,AUPR,3
0,0.9657168523901809,AUROC,4
1,0.9930121649537119,Accuracy,4
2,0.9938725490196079,Recall,4
3,0.9991273548585802,Precision,4
4,0.9964930244464354,F1 score,4
5,0.9999611840874505,AUPR,4
0,0.9724407204742362,AUROC,0
1,0.9987503506669047,Accuracy,0
2,0.9998468137254902,Recall,0
3,0.9989032011223058,Precision,0
4,0.9993747846835006,F1 score,0
5,0.9999688859072355,AUPR,0
0,0.9861672200372397,AUROC,1
1,0.9989033689525898,Accuracy,1
2,1.0,Recall,1
3,0.9989033689525898,Precision,1
4,0.9994513836614399,F1 score,1
5,0.9999840858628508,AUPR,1
0,0.9287277108033136,AUROC,2
1,0.9985973323812195,Accuracy,2
2,0.9996936274509803,Recall,2
3,0.9989030332406439,Precision,2
4,0.9992981739762911,F1 score,2
5,0.9999176500863222,AUPR,2
0,0.9793919929890562,AUROC,3
1,0.9989033689525898,Accuracy,3
2,1.0,Recall,3
3,0.9989033689525898,Precision,3
4,0.9994513836614399,F1 score,3
5,0.9999770002751893,AUPR,3
0,0.9056054895310838,AUROC,4
1,0.9982402897146209,Accuracy,4
2,0.9993361928104575,Recall,4
3,0.9989026413168304,Precision,4
4,0.999119370030503,F1 score,4
5,0.9998895692771363,AUPR,4
0,0.9875441152720779,AUROC,0
1,0.9989033689525898,Accuracy,0
2,1.0,Recall,0
3,0.9989033689525898,Precision,0
4,0.9994513836614399,F1 score,0
5,0.9999862164068931,AUPR,0
0,0.9833920547385621,AUROC,1
1,0.9989033689525898,Accuracy,1
2,1.0,Recall,1
3,0.9989033689525898,Precision,1
4,0.9994513836614399,F1 score,1
5,0.999981322526895,AUPR,1
0,0.9265335252317983,AUROC,2
1,0.9982402897146209,Accuracy,2
2,0.9993361928104575,Recall,2
3,0.9989026413168304,Precision,2
4,0.999119370030503,F1 score,2
5,0.9999153780237386,AUPR,2
0,0.9701040360427117,AUROC,3
1,0.9989033689525898,Accuracy,3
2,1.0,Recall,3
3,0.9989033689525898,Precision,3
4,0.9994513836614399,F1 score,3
5,0.9999663277152897,AUPR,3
0,0.9763917982406141,AUROC,4
1,0.9987503506669047,Accuracy,4
2,0.9998468137254902,Recall,4
3,0.9989032011223058,Precision,4
4,0.9993747846835006,F1 score,4
5,0.9999732047744678,AUPR,4
