,metrics,mean,std
0,AUPR,0.9999416156211615,4.8604883479783185e-05
1,AUROC,0.9485536004094204,0.04112247172615673
2,Accuracy,0.9987151875232083,0.0003588272475140539
3,F1 score,0.9993571517768997,0.00017969027978623385
4,Precision,0.9989352771129759,3.8233109757669224e-07
5,Recall,0.9997794409199049,0.0003592096219104463
