,score,metrics,experiment
0,0.9811406713940578,AUROC,0
1,0.9987622230474068,Accuracy,0
2,0.9998265265662173,Recall,0
3,0.998935327324948,Precision,0
4,0.9993807282635621,F1 score,0
5,0.9999796537303784,AUPR,0
0,0.9608722313409439,AUROC,1
1,0.9989355118207699,Accuracy,1
2,1.0,Recall,1
3,0.9989355118207699,Precision,1
4,0.9994674724757576,F1 score,1
5,0.9999569864299034,AUPR,1
0,0.8578111456393043,AUROC,2
1,0.9987869785864587,Accuracy,2
2,0.9998513084853291,Recall,2
3,0.9989353536854094,Precision,2
4,0.9993931212147483,F1 score,2
5,0.9998328071105783,AUPR,2
0,0.9130693501835014,AUROC,3
1,0.9989355118207699,Accuracy,3
2,1.0,Recall,3
3,0.9989355118207699,Precision,3
4,0.9994674724757576,F1 score,3
5,0.9998996021699251,AUPR,3
0,0.9110893901112075,AUROC,4
1,0.9979205347196435,Accuracy,4
2,0.9989839413164155,Recall,4
3,0.9989344302919165,Precision,4
4,0.9989591851906923,F1 score,4
5,0.9998998891972004,AUPR,4
