,metrics,mean,std
0,AUPR,0.9999137877275972,5.7351368182737736e-05
1,AUROC,0.9247965577338031,0.048188620661418276
2,Accuracy,0.9986681519990098,0.00042569451048301313
3,F1 score,0.9993335959241035,0.00021318652461422546
4,Precision,0.9989352269887627,4.536253409465546e-07
5,Recall,0.9997323552735924,0.00042614814014078754
